fold,class,MCC,balanced_accuracy,average_precision,ROC_AUC
1,HBOND,0.22144448314350937,0.6225921973145947,0.8302743800331993,0.6707869564166737
1,VDW,0.12518363307051913,0.5625908483011053,0.5827786679898237,0.5884762986902409
1,IONIC,0.40728726109021496,0.9379752145354693,0.33112946856588993,0.9656247298096663
1,PIPISTACK,0.5847963949431242,0.9755574410345027,0.46958320667015996,0.9819693733941794
1,PICATION,0.26545041912931794,0.9624914507125165,0.07946561321547004,0.9675634573952433
1,SSBOND,0.826068104260607,0.9996779791035102,0.8790568196595071,0.9998586448052834
1,PIHBOND,0.06419894798801505,0.8325292237445672,0.013629028496738,0.912889296595944
2,HBOND,0.22158974046350424,0.6225319693336344,0.8294578250409388,0.6701992665720736
2,VDW,0.12844411040256976,0.5642261278047247,0.586195128172568,0.5899376199876684
2,IONIC,0.4078890915580009,0.9391930165470165,0.3274502636415885,0.9655755203934469
2,PIPISTACK,0.5887288355153316,0.976028428015608,0.4640156019905635,0.981872871407755
2,PICATION,0.2650858883516271,0.9612817170971912,0.07909662724386285,0.9674492885043685
2,SSBOND,0.7914014369360144,0.999583623907782,0.8298028078608726,0.9998241816567393
2,PIHBOND,0.06353101498239891,0.8313506708183394,0.012837004180866824,0.9113316797962965
3,HBOND,0.22131464956344077,0.622596007338221,0.830871101136094,0.6715439593001922
3,VDW,0.1281078921677646,0.5640485689767778,0.5838887982842565,0.5907404677190801
3,IONIC,0.40341520887745946,0.938928684930564,0.31672538302123016,0.9647382403638617
3,PIPISTACK,0.5794463985048064,0.9752096367698476,0.46942341322485204,0.9816768999109309
3,PICATION,0.2628701448006458,0.9612195412443816,0.08040116178949763,0.9684222370701894
3,SSBOND,0.8342637842307253,0.9996656218203301,0.8670352250454173,0.9998444775613274
3,PIHBOND,0.06511428823162638,0.8447347855725258,0.01195947024668,0.9106964285583655
4,HBOND,0.22283511018994956,0.6233148376273822,0.8300627742157864,0.6717458566752749
4,VDW,0.13357282814931398,0.5667872192278149,0.5839720992201751,0.5926621117382435
4,IONIC,0.40746084482490286,0.9381812909594357,0.3156669572001626,0.9644630782749606
4,PIPISTACK,0.5880912101120259,0.9757028940964474,0.46747586461730006,0.9817421981334558
4,PICATION,0.26488073320719097,0.9604017543310622,0.08075697234463118,0.9679052817564255
4,SSBOND,0.8319490962118424,0.9996676854909845,0.8722494064945733,0.9998487415407467
4,PIHBOND,0.06272811012411007,0.8572906128242472,0.014229173548573585,0.919745522987031
5,HBOND,0.22389291420489482,0.6240067848022444,0.8316733933771385,0.673087085805267
5,VDW,0.12993947837957848,0.5649670926388584,0.5833260490082061,0.5907982428537268
5,IONIC,0.4046810779615126,0.9378963432267584,0.32492807269169366,0.9652160146745891
5,PIPISTACK,0.5846606234092652,0.9756714913278803,0.46636181732899123,0.9817864683899544
5,PICATION,0.2634162785071159,0.9609978659987888,0.07974445812648553,0.9681654584404135
5,SSBOND,0.7918335433642705,0.999583620491615,0.8378540080790324,0.9998290964412333
5,PIHBOND,0.06322310100928868,0.8239273743729111,0.013395110075510556,0.9078129128348754
