,MCC,MCC,balanced_accuracy,balanced_accuracy,average_precision,average_precision,ROC_AUC,ROC_AUC
,mean,std,mean,std,mean,std,mean,std
class,,,,,,,,
HBOND,0.22221537951305975,0.0011174981688177154,0.6230083592832154,0.000644390174354829,0.8304678947606314,0.0008422609067033131,0.6714726249538963,0.0010929102107026143
IONIC,0.4061466968624181,0.001979449183162624,0.9384349100398488,0.0005882677803877932,0.32318002902411297,0.006756346139645134,0.9651235167033049,0.0005120289454588281
PICATION,0.26434069279917954,0.001128661350986021,0.9612784658767881,0.0007619341048259231,0.07989296654398945,0.0006788980647880704,0.9679011446333281,0.00040608584812855994
PIHBOND,0.06375909246708782,0.0009263178737481207,0.8379665334665182,0.013130701078406738,0.013209957309673791,0.0008589988182708983,0.9124951681545024,0.004450720913472646
PIPISTACK,0.5851446924969107,0.003686266258720306,0.9756339782488572,0.000294818113260439,0.4673719807663733,0.002312703809434447,0.9818095622472551,0.00011425650751321163
SSBOND,0.8151031930006919,0.021647123509677797,0.9996357061628445,4.777578869950126e-05,0.8571996534278805,0.021942028125693902,0.999841028401066,1.4211891039350576e-05
VDW,0.12904958843394918,0.003059845094700386,0.5645239713898562,0.001530549766355932,0.584032148535006,0.0013011942731590029,0.5905229481977919,0.001519087379222332
